               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12203,            0.030975,                   0,                   0,                   0,                   0,                   0,                   0,            0.018525,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11319,            0.031316,                   0,                   0,                   0,                   0,                   0,                   0,            0.014688,                   0,            0.091894,          0.00089406,          0.00089406
                   2,             0.10076,            0.029839,                   0,                   0,                   0,                   0,                   0,                   0,            0.010935,                   0,            0.087382,           0.0013815,           0.0013815
                   3,            0.088014,            0.030153,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083631,                   0,            0.082862,           0.0018624,           0.0018624
                   4,            0.077398,            0.027624,                   0,                   0,                   0,                   0,                   0,                   0,            0.007024,                   0,            0.078337,           0.0023366,           0.0023366
                   5,             0.06982,             0.02745,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064728,                   0,            0.073804,           0.0028043,           0.0028043
                   6,            0.070753,             0.02738,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059497,                   0,            0.069265,           0.0032654,           0.0032654
                   7,            0.069388,            0.023937,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055134,                   0,             0.06472,           0.0037198,           0.0037198
                   8,            0.066957,            0.025105,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052072,                   0,            0.060168,           0.0041677,           0.0041677
                   9,            0.065545,            0.023121,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051767,                   0,            0.055609,           0.0046089,           0.0046089
                  10,            0.064247,            0.022834,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054462,                   0,            0.051044,           0.0050436,           0.0050436
                  11,            0.061273,            0.022467,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056214,                   0,            0.046472,           0.0054717,           0.0054717
                  12,            0.063429,             0.01975,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052348,                   0,            0.041893,           0.0058931,           0.0058931
                  13,             0.05718,            0.020604,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055516,                   0,            0.037308,            0.006308,            0.006308
                  14,            0.059099,            0.017546,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058101,                   0,            0.032716,           0.0067162,           0.0067162
                  15,            0.060278,            0.018364,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055914,                   0,            0.028118,           0.0071179,           0.0071179
                  16,            0.058114,            0.017719,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064168,                   0,            0.023513,            0.007513,            0.007513
                  17,            0.067778,             0.01559,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054069,                   0,            0.018901,           0.0079014,           0.0079014
                  18,            0.061452,            0.017454,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059106,                   0,            0.014283,           0.0082833,           0.0082833
                  19,            0.064957,            0.016824,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056742,                   0,           0.0096585,           0.0086585,           0.0086585
                  20,            0.055441,            0.018986,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057642,                   0,             0.00868,             0.00868,             0.00868
                  21,            0.055387,            0.017845,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053107,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.051458,            0.017651,                   0,                   0,                   0,                   0,                   0,                   0,           0.0055718,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.048582,            0.014976,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057099,                   0,            0.008548,            0.008548,            0.008548
